Variable,Inputs,#Knob,Level
Kxyz,100.0,2,High
Kz:low,0.00030000000000000003,0,Low
Sy,0.05,0,Low
rech_mount,1e-05,0,Low
ET_val,0.0001,2,High
ET:rip,3.0,2,High
K:streambed,10.0,0,Low
